$,dollar ドル記号
appropriation,専有
appropriation,独占
appropriation,盗用
appropriation,横領
appropriation,充当すること
appropriation,充当物
appropriator,専有する人
appropriator,盗用する人
appropriator,教会禄の設定を受けた宗教法人
approval,賛成
approval,是認
approvingly,賛成して
approvingly,満足そうに
approx.,approximate
approximately,おおよそ
approximately,だいたい
approximation,接近
approximation,近似
approximation,概算
approximation,近似値
appt.,appoint
appt.,appointment
appurtenance,付属物
appurtenance,従物
appurtenant,付属の
appurtenant,従属する
appurtenant,付属した
Apr.,April
après-ski,スキーをした後のくつろぎの時間
après-ski,スキー後のくつろぎの時にふさわしい
apricot,アンズ
apricot,アンズの木
apricot,アンズ色
apricot,アンズ色の
apricot,黄赤色の
April,4月
apron,エプロン
apron,前掛け
apron,張り出し舞台
apron,エプロン
apropos,適切な
apropos,適切に
apropos,好都合に
apse,後陣
apt.,apartment
aptitude,素質
aptitude,才能
aptitude,適性
aptitude,傾向
aptly,適切に
aptness,適性
aptness,才能
aptness,傾向
aptness,性向
aquacade,水上ショー
aquaculture,養殖
aquaculture,養魚
aqualung,アクアラング
aquamarine,アクアマリン
aquamarine,藍玉
aquamarine,藍緑色
aquamarine,藍緑色の
aquanaut,海洋潜水士
aquaplane,水上スキー
aquaplane,水上スキーに乗る
aquaregia,王水
aquarium,水族館
aquarium,水そう
aquarium,ガラスばち
Aquarius,宝瓶宮
Aquarius,水瓶座
Aquarius,水瓶座生まれの人
aquatic,水生の
aquatic,水の
aquatic,水上の
aquatic,水中で行われる
aquatint,アクアチント
aquatint,アクアチント版画
aquavitae,強い酒
aqueduct,送水路
aqueduct,水路橋
aqueous,水の
aqueous,水を含んだ
aquifer,水を含む地層
aquifer,井戸の水源
aquiline,ワシの
aquiline,ワシのくちばしのような
ar,are の変形
Ar,argonの化学記号
AR,Arkansas
ar.,arrival
ar.,arrive
ar.,arrives
arabesque,アラビア風の
arabesque,唐草模様の
arabesque,風変りな
arabesque,アラビア風のデザイン
arabesque,唐草模様
arabesque,アラベスク
arabesque,アラベスク
Arabia,アラビア
Arabic,アラビアの
Arabic,アラビア人の
Arabic,アラビア語
arable,耕作に適した
arable,耕作された
arable,耕地
arable,農地
arachnid,クモ類の動物
Aragon,アラゴン
Aramaic,アラム語
arbalest,強力な大弓
arbalist,強力な大弓
arbiter,調停者
arbiter,仲裁者
arbiter,最高の権威者
arbitrage,さやとり売買
arbitrage,裁定取引
arbitrament,仲裁
arbitrament,調停
arbitrament,裁決
arbitrament,裁決権
arbitrarily,随意に
arbitrarily,気ままに
arbitrary,随意の
arbitrary,任意の
arbitrary,気まぐれな
arbitrary,独裁的な
arbitrary,独断的な
arbitrary,専横な
arbitration,仲裁
arbitration,裁定
arbitration,仲裁裁判
arbitrator,仲裁人
arbitrator,調停者
arbitrator,最終決定者
arbor,軸
arbor,あずまや
arbor,木陰の園亭
arbour,あずまや
arbour,木陰の園亭
arboreal,樹木の
arboreal,樹上に住む
arboretum,植物園
arboretum,樹木園
arbutus,アービュタス
arbutus,北米産イワナシ
arc,弧
arc,円弧
arc,電弧
arc,弧を描く
arc,電弧を生じる
ARC,American Red Crossアメリカ赤十字
arcade,拱廊
arcade,アーケード
Arcadia,アルカディア
Arcadia,平和な理想郷
Arcadia,桃源郷
Arcadian,アルカディアの
Arcadian,牧歌的な
Arcadian,田園風の
Arcadian,純真素朴な
Arcadian,アルカディア人
Arcadian,純真素朴な人
arcane,神秘的な
arcane,不可思議な
arch,おもな
arch,主要な
arch,ずるそうな
arch,いたずらそうな
archaeopteryx,始祖鳥
archeopteryx,始祖鳥
archaic,今は一般に用いられない
archaic,古風な
archaic,すたれた
archaic,古代の
archaism,古語
archaism,古風な表現
archaism,古文体
archaism,擬古体
archangel,大天使
archangel,天使長
archbishop,大司教
archbishop,大監督
archbishop,大主教
archbishop,大僧正
archbishopric,archbishopの職
archdeacon,副監督
archdeaconry,archdeaconの職
archdiocese,archbishopの管区
archduke,大公
archduke,旧オーストリア国皇子
arched,アーチ形の
arched,弓形の
arched,アーチのある
archenemy,大敵
Archeozoic,始生代の
Archeozoic,始生代
Archae,始生代の
Archae,始生代
archer,射手
archer,弓術家
archer,射手座
archery,アーチェリー
archery,弓術
archery,射手隊
archetypal,原型の
archetypal,典型の
archetype,原型
archetype,模範
archetype,手本
archfiend,大悪魔
archfiend,悪魔の頭目
archfiend,魔王
archimandrite,修道院長
archimandrite,独身のすぐれた聖職者に贈られる称号
Archimedes,アルキメデス
archipelago,群島
archipelago,群島のある海
archipelago,多島海
archipelago,エーゲ海
archit.,architecture
architect,建築家
architect,建築技師
architect,創始者
architect,創案者
architect,計画者
architectonics,建築学
architectonics,構成法
architectural,建築術の
architectural,建築の
architecture,建築術
architecture,建築学
architecture,建築様式
architecture,構成
architrave,台輪
architrave,化粧縁
architrave,装飾縁
archives,公文書
archives,公文書保管所
archivist,公文書保管者
archon,アルコン
archway,アーチの下の通路
archway,入口にかかっているアーチ
arcked,arcの過去
arcked,過去分詞
arcking,arcの現在分詞形
arctic,北極の
arctic,極寒の
arctic,北極
arctic,防水靴
arcuate,弓形の
arcuate,アーチ状の
Arden,アーデンの森
Arden,桃源郷
ardent,熱心な
ardent,熱烈な
ardor,熱情
ardor,熱心
ardor,熱意
ardour,熱情
ardour,熱心
ardour,熱意
arduous,骨の折れる
arduous,困難な
arduous,登りにくい
arduous,けわしくて骨の折れる
arduous,しんぼう強い
arduous,奮闘する
are,アール
areaway,地下勝手口
areaway,建物の間の通路
aren't,are notの短縮形
aren't,am notの短縮形
arena,闘技場
arena,競技場
arena,競演場
arena,競争の場
arena,活躍の舞台
Ares,アレース
arete,斜面がけわしい山の背
arete,やせ尾根
arête,斜面がけわしい山の背
arête,やせ尾根
argent,銀
argent,銀色
argent,銀製の
argent,銀色の
Argentina,アルゼンチン
argentine,銀の
argentine,銀色の
argentine,銀
argentine,銀色
Argentine,アルゼンチンの
Argentine,アルゼンチン人
Argentine,アルゼンチン
argillaceous,粘土の
argillaceous,粘土質の
Argo,アルゴ号
argon,アルゴン
Argonaut,アルゴ号の乗組員
argosy,大商船
argosy,大商船団
argot,隠語
arguable,論議の余地がある
arguable,疑わしい
arguable,論じうる
arguable,論証できる
argument,論争
argument,口論
argument,論拠
argument,理由
argument,要旨
argument,概要
argumentation,議論
argumentation,討論
argumentation,立論
argumentation,論証
argumentative,議論好きの
argumentative,理屈っぽい
Argus,アルゴス
Argus,厳重な見張り人
argy-bargy,口やかましいけんか
argyle,ひし形編み模様
argyle,ひし形模様編みの短靴下
aria,アリア
aria,詠唱
arid,乾燥した
arid,不毛の
arid,つまらない
arid,無味乾燥な
aridity,不毛
aridity,無味乾燥
Aries,雄羊座
Aries,白羊宮
aright,正しく
aright,まちがいなく
arise,〈問題
arise,事件などが〉起こる
arise,現れる
arise,生じる
arise,《古
arise,詩》起き上がる
arise,立ち上がる
arise,〈霧
arise,煙などが〉立ちのぼる
arise,湧きあがる
arisen,ariseの過去分詞
aristocracy,貴族政治
aristocracy,貴族政治の国
aristocracy,貴族による政府
aristocracy,貴族
aristocracy,貴族階級
aristocracy,第一流の人々
aristocrat,貴族
aristocrat,貴族的な人
aristocrat,貴族趣味の人
aristocrat,貴族政治主義者
aristocratic,貴族の
aristocratic,貴族らしい
aristocratic,貴族政治の
aristocratic,貴族階級の
aristocratic,貴族主義の
Aristophanes,アリストファネス
Aristotelian,アリストテレスの
Aristotelian,アリストテレス学派の人
Aristotle,アリストテレス
arith,arithmetic
arith,arithmetical
arithmetical,算術の
arithmetician,算術家
arithmetician,計算のうまい人
Ariz.,Arizona
Arizona,アリゾナ州
ark,箱舟
ark,約櫃
Ark.,Arkansas
Arkansas,アーカンソー州
Arlington,アーリントン
Arlington,米国国立基地
arm,腕
arm,腕
arm,腕のような物
arm,いすのひじ掛け
arm,樹の大枝
armada,艦隊
armada,軍用飛行隊
armada,スペインの無敵艦隊
armadillo,アルマジロ
Armageddon,ハルマゲドン
Armageddon,最後の大決戦
armament,{C}軍事力
armament,軍備
armament,軍隊
armament,海軍
armament,軍備を整えること
armament,戦争の準備
armature,よろいかぶと
armature,発電子
armature,電動子
armature,接極子
armature,防護器官
armband,腕章
armchair,ひじ掛けいす
armed,武装した
armed,用意した
Armenia,アルメニア
Armenian,アルメニアの
Armenian,アルメニア人の
Armenian,アルメニア人
Armenian,アルメニア語
armful,腕いっぱいの量
armhole,そでぐり
armistice,休戦
armistice,停戦
armored,武装した
armored,装甲の
armoured,武装した
armoured,装甲の
armorer,武具師
armorer,兵器工
armorer,兵器係
armorer,武器管理係
armourer,武具師
armourer,兵器工
armourer,兵器係
armourer,武器管理係
armorial,紋章の
armory,兵器庫
armory,造兵廠
armory,兵器工場
armory,部隊本部
armpit,わきの下armpit hair
armpit,わき毛
armrest,ひじ掛け
arms,兵器
arms,武器
arms,火器
army,陸軍
army,《the~
army,the A-》軍隊
army,軍隊
army,団体
army,集団
army,大群
armyworm,ヨトウムシ
aroma,芳香
aroma,香気
aroma,気品
aroma,趣き
aromatic,かおりの高い
aromatic,かんばしい
arose,ariseの過去形
arpeggio,アルペジオ
arquebus,火縄銃
arrack,アラック酒
arraign,とがめる
arraign,非難する
arraignment,罪状認否
arraignment,非難
arraignment,糾弾
arrangement,整理
arrangement,配置
arrangement,配列
arrangement,整理した物
arrangement,整理の仕方
arrangement,手はず
arrangement,準備
arrangement,協定
arrangement,取り決め
arrangement,和解
arrangement,合意
arrangement,編曲
arrangement,編曲した曲
arrant,評判の
arrant,この上ない
arras,アラス織り
arras,アラス織りの壁掛け
arrears,とどこおり
arrears,滞納金
arrears,おくれ
arresting,人の注意をひく
arresting,きわだった
arrhythmia,不整脈
arrival,到着
arrival,到達
arrival,到着した人
arrival,到着する人
arrival,生まれた子
arrive,着く
arrive,到着する
arrive,達する
arrive,来る
arrive,成功する
arrive,名声を博する
arrive,生まれる
arrivederci,さようなら
arrogance,傲慢
arrogance,おうへい
arrogance,尊大
arrogant,〈人
arrogant,態度などが〉傲慢な
arrogant,おうへいな
arrow,矢
arrow,矢に似た物
arrow,矢印
arrowhead,矢じり
arrowroot,クズウコン
arsenal,兵器庫
arsenal,兵器工場
arsenal,兵器の蓄え
arsenal,蓄え
arsenal,集積
arsenate,ヒ酸塩
arsenic,ヒ素
arsenic,亜ヒ酸
arsenic,ヒ素の
arsenic,ヒ素を含む
arson,放火
arson,放火罪
arsonist,放火犯人
art.,article
art.,artificial
art.,artillery
art.,artist
Artemis,アルテミス
arterial,動脈の
arterial,動脈状の
arterial,動脈血の
arterial,幹線の
arteriole,小動脈
arteriosclerosis,動脈硬化
arteriosclerotic,動脈硬化の
artery,動脈
artery,幹線
artery,主チャンネル
artful,こうかつな
artful,ずるい
artful,巧妙な
artful,巧みな
arthritic,関節炎の
arthritic,関節炎患者
arthritis,関節炎
arthropod,節足動物
Arthur,アーサー王
artichoke,チョウセンアザミ
artichoke,そのつぼみ
artichoke,キクイモ
article,記事
article,論説
article,条項
article,箇条
article,契約
article,徒弟年季契約
article,一個
article,一品
article,品物
article,商品
article,冠詞
articular,関節の
articular,分節の
articulation,調音
articulation,有節発音
articulation,発音の明りょう度
articulation,関節
articulation,節
artifact,人工物
artifact,加工品
artifact,古代人が使った道具
artifice,器用さ
artifice,巧みさ
artifice,策略
artifice,計略
artificer,技術者
artificer,技術兵
artificial,人造の
artificial,人工の
artificial,人為的な
artificial,模造の
artificial,不自然な
artificial,見せかけの
artificiality,人為的であること
artificiality,不自然さ
artificiality,わざとらしさ
artificiality,人工物
artificiality,模造品
artillery,砲
artillery,大砲
artillery,砲兵
artilleryman,砲兵
artilleryman,砲手
artisan,職人
artist,芸術家
artist,画家
artist,彫刻家
artist,音楽家
artist,芸能人
artist,達人
artist,名人
artistic,芸術的な
artistic,芸術の
artistic,芸術家の
artistic,美的感受性に富む
artistic,美のわかる
artistically,芸術的に
artistry,芸術的効果
artistry,芸術性
artistry,芸術的才能
artless,自然のままの
artless,素朴な
artless,不細工な
artless,へたな
artsy-craftsy,芸術品のつもりだが役に立たない
artsy-craftsy,芸術家ぶった
arty,芸術家気どりの
arty,芸術品まがいの
Aryan,アーリア人の
Aryan,アーリア語族の
Aryan,アーリア人
Aryan,アーリア語族
Aryan,非ユダヤ系のコーカソイド人
As,arsenicの化学記号
AS,Anglo-Saxon
asbestos,石綿
ascendancy,優勢
ascendancy,優位
ascendancy,主導権
ascendency,優勢
ascendency,優位
ascendency,主導権
ascension,上昇
ascension,キリストの昇天
ascent,上昇
ascent,登ること
ascent,向上
ascent,昇進
ascent,登り
ascent,上り道
ascertainable,確かめられる
ascetic,禁欲的な
ascetic,禁欲主義の
ascetic,禁欲主義者
asceticism,禁欲主義
asceticism,禁欲生活
ascot,アスコットタイ
ascot,アスコットスカーフ
ascription,帰すること
ascription,せいにすること
asepsis,無菌状態
aseptic,病原菌がついていない
aseptic,無菌の
aseptic,防腐処置をした
asexual,無性の
asexual,性器のない
asexual,性とは無関係の
ash,《しばしば複数形で
ash,単数扱い》灰
ash,火山灰
ash,遺骨
ash,なきがら
ash,廃墟
ash,西洋トネリコの木
ash,トネリコ材
ashamed,恥じて
ashamed,恥ずかしく思って
ashamed,ためらって
ashamed,気おくれして
ashcan,灰入れ
ashcan,ごみ入れ
ashen,灰の
ashen,灰色の
ashen,青白い
ashen,トネリコの
ashlar,切り石
ashlar,切り石積み
ashore,岸へ
ashram,アーシュラム
ashtray,灰ざら
ashy,灰の
ashy,灰のような
ashy,青白い
Asia,アジア
Asian,アジアの
Asian,アジアに住む人々の
Asian,アジア人
asinine,ロバの
asinine,ロバのような
asinine,愚鈍な
asinine,無知な
ask,招待する
ask,招く
ask,質問する
ask,尋ねる
ask,頼む
ask,求める
askance,横に
askance,斜めに
askance,横目で
askew,斜めに
askew,曲がって
askew,ゆがんで
askew,曲がって
askew,ゆがんで
asleep,眠って
asleep,永眠して
asleep,しびれて
asocial,非社交的な
asocial,思いやりのない
asocial,利己的な
asp,アスプ
asp,毒ヘビ
asparagus,アスパラガス
asparagus,食用アスパラガス
aspect,顔つき
aspect,表情
aspect,外観
aspect,様子
aspect,様相
aspect,局面
aspect,面
aspect,向き
aspect,方向
aspectual,相の
aspen,ハコヤナギ
aspen,ポプラ
asperity,とげとげしさ
asperity,荒々しさ
asperity,厳しさ
asperity,辛さ
asperity,困難
aspersion,悪口
aspersion,中傷
asphodel,アスフォデル
asphyxia,失神状態
asphyxia,窒息
asphyxiation,窒息
aspic,アスピック
aspirant,熱望する人
aspirant,求める人
aspiration,大望
aspiration,熱望
aspiration,呼気
aspiration,呼吸
aspiration,気音を伴って発音すること
aspire,大望を抱く
aspire,あこがれる
aspire,切望する
aspirin,アスピリン
aspirin,アスピリン錠
ass,ロバ
ass,ばか者
ass,しり
ass,けつ
assailant,攻撃者
assassin,暗殺者
assassin,刺客
assassination,暗殺
assayer,分析者
assemblage,集まり
assemblage,集めて組み合わせること
assemblage,組立て
assembly,集会
assembly,会合
assembly,会議
assembly,下院
assembly,組立て
assembly,組立て部品
assemblyman,州議会議員
assemblyman,州議会の下院議員
assent,同意する
assent,賛同する
assent,賛成
assent,同意
assertion,断言
assertion,主張
assertion,主張すること
assertive,断定的な
assertive,独断的な
assessment,評価
assessment,査定
assessment,状況判定
assessment,評価額
assessment,課税額
assessor,評価人
assessor,査定者
assessor,状況を判定する人
asset,価値のあるもの
asset,宝
asset,資産
asset,財産
asseveration,断言
asseveration,主張
assiduous,勤勉な
assiduous,根気強い
assignable,割当てができる
assignable,譲渡できる
assignation,割当て
assignation,指定
assignation,恋人との密会
assignment,割り当てられた仕事
assignment,宿題
assignment,任命すること
assignment,指定すること
assimilation,同化
assimilation,吸収
assimilation,同化
assimilation,融合
assimilation,同化
assistance,手伝い
assistance,助力
assize,判事と陪審員による裁判
assize,巡回裁判
assn.,association
assoc.,associate
assoc.,association
association,交際
association,付き合い
association,連合
association,共同
association,関連
association,組合
association,協会
association,会社
association,連想
association,連想されるもの
associative,連合の
associative,連想の
assonance,音の類似
assonance,母音の類音
assonant,類似音の
assonant,母韻押韻の
assonant,母韻押韻の語
assorted,各種取り合わせた
assorted,「調和した」の意を表す
assortment,分類
assortment,仕分け
assortment,各種取り合わせた物
assortment,詰め合わせ物
asst.,assistant
Asst.,assistant
assumed,当然のこととした
assumed,仮定した
assumed,装った
assumed,偽りの
assuming,ごう慢な
assuming,生意気な
assumption,引き受けること
assumption,専有
assumption,横領
assumption,でしゃばり
assumption,おうへい
assumption,仮定
assumption,想定
assumption,仮説
assumption,聖母マリアの被昇天
assumption,聖母被昇天祭
assumptive,仮定の
assumptive,推測の
assumptive,生意気な
assurance,保証
assurance,請け合い
assurance,確信
assurance,自信
assurance,保険
assured,保証された
assured,確実な
assured,自信のある
assured,確信をもった
assured,保険をつけた
assured,被保険者
Assyria,アッシリア
astatine,アスタチン
aster,アスター
aster,エゾギク
asterism,星状光彩
asterism,星群
asterism,星座
astern,船尾に
astern,後方へ
asteroid,星状の
asteroid,小惑星
asteroid,ヒトデ
asthma,喘息
asthmatic,喘息の
asthmatic,喘息患者
astigmatic,乱視の
astigmatism,乱視
astir,わきたって
astir,ざわめいて
astir,にぎわって
astir,起きて
astonishing,驚くべき
astonishing,びっくりするような
astonishment,驚き
astonishment,びっくり
astonishment,驚くべきこと
astrakhan,アストラカン
astral,星の
astral,星からの
astray,迷って
astride,にまたがって
astride,またがって
astringency,収れん性
astringency,きびしさ
astringency,厳格
astringent,収れん性の
astringent,収縮する
astringent,きびしい
astringent,収れん剤
astringent,アストリンゼント
astrobiology,宇宙生物学
astrodome,丸天井の競技場
astrodome,天体観測窓
astrodynamics,天体力学
astrol.,astrologer
astrol.,astrological
astrol.,astrology
astrolabe,天体観測儀
astrologer,占星術師
astrological,星占いの
astrological,占星の
astrological,占星学の
astrology,占星術
astron.,astronomer
astron.,astronomical
astron.,astronomy
astronaut,宇宙飛行士
astronautic,宇宙飛行の
astronautic,宇宙飛行士の
astronautical,宇宙飛行の
astronautical,宇宙飛行士の
astronautics,宇宙航法
astronautics,宇宙飛行学
astronomer,天文学者
astronomy,天文学
astronomy,星学
astrophysical,天体物理学の
astrophysicist,天体物理学者
astrophysics,天体物理学
astute,機敏な
astute,こうかつな
astute,抜け目のない
asunder,ばらばらに
asunder,離れて
asunder,離れ離れに
asylum,保護収容所
asylum,養育院
asylum,避難
asylum,保護
asymptote,漸近線
At,astatineの化学記号
at.,atomic
at.no.,atomic number
at.wt.,atomic weight
Atalanta,アタランタ
atavism,隔世遺伝
atavism,先祖返り
atavistic,隔世遺伝的な
atavistic,先祖返りの
atchoo,ハクション
ate,eatの過去形
atelier,アトリエ
atelier,画室
atelier,仕事場
atheism,無神論
atheism,不信心
atheist,無神論者
atheist,不信心者
atheistic,無神論の
atheistic,不信心の
atheistical,無神論の
atheistical,不信心の
athenaeum,学術振興協会
athenaeum,図書館
Athenian,アテネの
Athenian,古代アテネ文化の
Athenian,アテネ人
Athens,アテネ
atherosclerosis,動脈硬化症
athirst,渇望して
athirst,のどがかわいて
athlete,競技者
athlete,運動家
athlete,強壮な人
athlete,陸上競技選手
athletic,運動競技の
athletic,運動家の
athletic,運動家らしい
athletic,強健な
athletically,競技的に
athletically,運動家らしく
athletics,運動競技
athletics,陸上競技
athletics,体育
atilt,傾いた
atilt,傾斜した
atilt,傾斜して
atilt,槍を構えて
Atl.,Atlantic
Atlanta,アトランタ
Atlantic,大西洋の
Atlantic,大西洋
atlas,地図帳
atlas,図解
atlas,表解
Atlas,アトラス
Atlas,アトラス
atm.,atmosphere
atm.,atmospheric
atmosphere,大気
atmosphere,空気
atmosphere,雰囲気
atmosphere,環境
atmosphere,周囲の状況
atmosphere,気圧単位
atmospheric,大気の
atmospheric,大気中の
atmospheric,大気によって起こる
atmospherical,大気の
atmospherical,大気中の
atmospherical,大気によって起こる
atmospherics,空電
atoll,環状サンゴ礁
atoll,環礁
atom,原子
atom,微量
atom,非常な少量
atom,微量
atom,わずか
atomic,原子の
atomic,原子力の
atomic,極微の
atomism,原子論
atomizer,噴霧器
atomizer,香水吹き
atonal,無調の
atonality,無調
atonality,無調様式
atone,償う
atone,あがなう
atone,埋合せをする
atonement,償い
atonement,あがない
atonement,贖罪
atony,無力
atony,弛緩
atrium,中央広間
atrium,心房
atrocious,残虐な
atrocious,凶暴な
atrocious,ひどい
atrocious,いやらしい
atrocity,残虐
atrocity,凶暴
atrocity,残虐行為
atrocity,ひどいへま
Atropos,アトロポス
Att.Gen.,Attorney General
attaboy,でかした
attaboy,すごいぞ
attaboy,あっぱれ
attache,大使館員
attache,外交官補
attache,随行員
attaché,大使館員
attaché,外交官補
attaché,随行員
attachment,付くこと
attachment,付着
attachment,付属
attachment,付属品
attachment,付属装置
attachment,留め金
attachment,締め具
attachment,愛着
attachment,愛情
attachment,逮捕
attachment,差し押え
attainable,達せられる
attainable,やり逐げられる
attainable,得られる
attainder,私権剥奪
attainment,達成すること
attainment,到達
attainment,学識
attainment,技能
attaint,汚す
attaint,私権喪失
attaint,汚名
attar,バラ油
attar,花の精
attar,花のエキス
attempted,企てた
attempted,未逐の
attendance,出席
attendance,参列
attendance,出席回数
attendance,出席者
attendance,列席者
attendance,参列者
attendance,出席者数
attendance,付き添い
attendance,看護
attendance,奉仕
attendant,付き添いの
attendant,付随する
attendant,出席の
attendant,列席している
attendant,付き添い人
attendant,随行者
attendant,お供
attendant,出席者
attendant,案内係
attendant,従業員
attendant,店員
attention,注意
attention,注意力
attention,世話
attention,思いやり
attention,親切
attention,心づかい
attention,「気をつけ」の号令
attention,気をつけの姿勢
Attention!,気をつけ
attentive,注意深い
attentive,手厚い
attentive,いんぎんな
attenuation,細くすること
attenuation,薄めること
attenuation,減少
attestation,証明
attestation,証拠
attestation,保証
attic,屋根裏
attic,屋根裏部屋
Attic,アッチカの
Attic,アテネの
Attic,古典ふうの
Attic,典雅な
Attic,アッチカ人
Attic,アテネ人
Attic,アッチカ方言
Attica,アッチカ
attitude,姿勢
attitude,身構え
attitude,感じ方
attitude,傾向
attitude,性向
attitude,姿勢
attitude,身構え
attitudinize,気取る
attitudinize,かっこうをつける
attitudinise,気取る
attitudinise,かっこうをつける
attractant,引きつける物
attractant,誘引物
attraction,引力
attraction,引きつける力
attraction,魅力となる物
attraction,呼び物
attraction,出し物
attractive,魅力のある
attractive,興味をそそる
attractive,引力のある
attrib.,attributive
attrib.,attributively
attributable,せいにできる
attributable,起因する
attributable,備わった
attributable,作と考えられる
attributive,限定的な
attributive,限定詞
attrition,摩擦
attrition,磨り減ること
attrition,消耗
attrition,自然減
atty.,attorney
Atty.Gen.,Attorney General
ATV,all-terrain vehicle全地形万能車
atwitter,興奮した
atwitter,そわそわした
atypical,型にはまらない
atypical,異常な
Au,goldの化学記号
aubrietia,オーブリーシア
auburn,赤褐色の
auburn,金褐色の
auburn,赤褐色
aucourant,時勢に明るい
auctioneer,競売人
auctioneer,せり売り人
aud.,audit
aud.,auditor
audacious,大胆な
audacious,勇敢な
audacious,大胆不敵な
audacious,厚かましい
audacious,ずうずうしい
audacity,大胆さ
audacity,大胆不敵さ
audacity,厚かましさ
audacity,ずうずうしさ
audibility,聞き取れること
audibility,可聴度
audible,聞こえる
audible,聞き取れる
audience,聴衆
audience,観衆
audience,観客
audience,見物人
audience,読者:視聴者
audience,聴取者
audience,公式会見
audience,謁見
audio,可聴周波の
audio,低周波の
audio,音声の
audio,音声
audiology,聴力学
audiometer,聴力測定器
audiophile,ハイファイ愛好者
audiophile,オーディオマニア
audiotape,録音テープ
audiovisual,視聴覚の
audiovisual,視聴覚教材A
audiovisual,V
auditor,聞き手
auditor,傍聴人
auditor,会計検査官
auditor,監査役
auditor,聴講生
auditorium,聴衆席
auditorium,観客席
auditorium,講堂
auditorium,公会堂
auditory,耳の
auditory,聴覚の
Aug.,August
auger,らせん形のきり
aught,《古
aught,詩》 何か
aught,何でも
aught,あらゆること
aught,少しも
aught,どの程度にもせよ
aught,零
aught,ゼロ
aught,無
augmentation,増大
augmentation,増加
augmentation,増加した物
augmentation,付加物
augury,占い
augury,占いの儀式
augury,きざし
augury,前兆
august,威厳のある
august,堂々とした
august,身分の高い
august,尊い
August,8月
August,August heat wave{名}8月の休暇
Augusta,オーガスタ
Augustan,オーガスタス大帝の
Augustan,オーガスタス大帝時代の
Augustan,文芸全盛期の
Augustan,古典主義の
Augustine,聖オーガスチン
Augustine,初期キリスト教会の指導者
Augustine,哲学者
Augustine,英国に布教したローマの宣教師
Augustine,最初のカンタベリー大主教
Augustinian,聖オーガスチンの
Augustinian,アウグスチヌス主義の
Augustinian,アウグスチヌス修道会の修道士
Augustinian,アウグスチヌスの教義信奉者
Augustus,オーガスタス
auk,ウミスズメ科の鳥
aunt,おば
aunt,おばさん
aura,独持の雰囲気
aural,耳の
aural,聴覚の
aureate,金色の
aureate,さん然と輝く
aureate,華麗な
aureole,光の輪
aureole,輪光
aureole,後光
aureole,かさ
Aureomycin,オーレオマイシン
auricle,心耳
auricle,外耳
auricle,耳状のもの
auricular,耳の
auricular,聴覚の
auricular,心耳の
auriferous,金を含んだ
aurochs,ヨーロッパの野牛
auroral,オーロラの
auroral,オーロラに似た
auroral,夜明けの
AUS,Army of the United States米国陸軍
auscultation,聴診
auspices,よいきざし
auspices,前兆
auspices,保護
auspices,援助
auspices,支持
auspicious,さい先のよい
auspicious,好都合の
austere,厳しい
austere,厳格な
austere,質素な
austere,禁欲的な
austere,簡素な
austere,飾らない
austerity,厳しさ
austerity,厳格さ
austerity,簡潔さ
austerity,禁欲生活
austral,南の
austral,南方の
Australasia,オーストラレーシア州
Australasian,オーストラレーシア州の
Australasian,オーストラレーシア人
Australia,オーストラリア
Australia,豪州
Australian,オーストラリアの
Australian,豪州の
Australian,オーストラリア人
Austria,オーストリア
Austrian,オーストリアの
Austrian,オーストリア人
Austronesia,オーストロネシア
Austronesian,オーストロネシアの
Austronesian,オーストロネシア語族
autarky,経済的自給自足
autarky,経済的自給自足国家
auth.,authentic
auth.,author
auth.,authority
auth.,authorized
authentic,信頼できる
authentic,確かな
authentic,本物の
authentic,ほんとうの
authentic,模写ではない
authentically,確かに
authentically,ほんとうに
authenticate,であると証明する
authentication,証明
authentication,立証
authentication,確証
authenticity,確実性
authenticity,本物であること
author,著者
author,作者
author,作家
author,著作者
author,創始者
author,創造者
author,張本人
author,著書
author,作品
authoress,女流作家
authoritarian,権威主義の
authoritarian,権威主義者
authoritarianism,権威主義
authoritarianism,権威盲従主義
authoritative,信頼すべき
authoritative,権威ある
authoritative,権力をもった
authoritative,当局の
authoritative,その筋の
authoritative,権威をふりかざした
authoritative,命令的な
authority,権威
authority,権力
authority,権限
authority,権能
authority,権力者
authority,権限者
authority,当局
authority,その筋
authority,官庁
authority,信頼すべき筋
authority,信頼できる根拠
authority,典拠
authority,大家
authority,権威
authorization,権限を与えること
authorization,委任
authorization,許可すること
authorize,認める
authorized,権限を与えられた
authorized,正式に認可された
authorized,認められた
authorship,著述業
authorship,原著者
authorship,原作者
authorship,出所
autism,自閉性
autistic,自閉性の
auto-changer,オートチェンジ
autobahn,ドイツの高速道路
autobiographer,自叙伝作者
autobiography,自叙伝
autobiography,自伝
autochthonous,土地原産の
autochthonous,土着の
autoclave,圧力がま
autocracy,独裁政治
autocracy,専制政治
autocracy,独裁主義国
autocracy,専制君主国
autocrat,独裁者
autocrat,専制君主
autocrat,横暴な人
autocrat,暴君
autocratic,独裁の
autocratic,専制の
autocratic,横暴な
autocratic,暴君の
autocratical,独裁の
autocratical,専制の
autocratical,横暴な
autocratical,暴君の
autodidact,独学者
autoeroticism,自己発情
autogiro,オートジャイロ
autogyro,オートジャイロ
autograph,自筆の署名
autograph,サイン
autograph,自筆の手紙
autograph,自筆の
